,importance
CustServCalls,0.2017149945237659
DayMins,0.1856116975527801
MonthlyCharge,0.1759725374060777
ContractRenewal,0.11529026807636004
OverageFee,0.0725124509466114
DataUsage,0.06857166164560215
RoamMins,0.056001268880173746
DayCalls,0.04705043158857202
AccountWeeks,0.046568021972716186
DataPlan,0.030706667407340626
